账单行号,单号,快递公司,目的地省,账单重量,账单快递费,账单操作费,账单金额,商家ID,在订单中,订单快递,订单省份,订单重量,理论重量,理论快递费,理论总费用,费用差异,重量匹配,状态
98,321120167089610,韵达快递,广东省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,广东省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
99,435163051187466,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,广东省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
100,321119943971674,韵达快递,江西省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
101,435163911475060,韵达快递,甘肃省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,甘肃省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
102,435163052794263,韵达快递,上海市,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,上海,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
103,435164634539321,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
104,321122208374586,韵达快递,江苏省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,江苏省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
105,435164620377270,韵达快递,北京市,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,北京,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
106,435165200316701,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
107,435165395241445,韵达快递,黑龙江省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,黑龙江省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
108,428187114821374,韵达快递,江苏省,1,2.8,0.9,3.7,70迈官旗(253810120),是,韵达快递,江苏省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
109,435165398405438,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,广东省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
110,428187120371743,韵达快递,上海市,1,2.8,0.9,3.7,70迈官旗(253810120),是,韵达快递,上海,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
111,321123023763015,韵达快递,山西省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,山西省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
112,435166165444620,韵达快递,江西省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
113,435166310506291,韵达快递,广西壮族自治区,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
114,435166918163766,韵达快递,浙江省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,浙江省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
115,428186686382640,韵达快递,河南省,1,2.8,0.9,3.7,70迈官旗(253810120),是,韵达快递,河南省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
116,428186640503469,韵达快递,广东省,1,2.8,0.9,3.7,70迈官旗(253810120),是,韵达快递,广东省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
117,321123656541164,韵达快递,河北省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,河北省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
118,428186954875607,韵达快递,河北省,1,2.8,0.9,3.7,70迈官旗(253810120),是,韵达快递,河北省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
119,435166691471064,韵达快递,湖北省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,湖北省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
120,321123035295781,韵达快递,江苏省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
121,435168201363853,韵达快递,山东省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,山东省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
122,435168505932080,韵达快递,福建省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
123,428187008953221,韵达快递,广东省,1,2.8,0.9,3.7,70迈官旗(253810120),否,,,,,,,,,未在发货订单中
124,435168603333009,韵达快递,四川省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
125,435167722930444,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
126,321125493835945,韵达快递,广东省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
127,435167717453240,韵达快递,安徽省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
128,321125502376099,韵达快递,浙江省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
129,435168584309026,韵达快递,山东省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
130,321125660586257,韵达快递,广东省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,广东省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
131,435168350709001,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,广东省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
132,435168499560970,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
133,435169692095043,韵达快递,湖南省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,湖南省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
134,435169686642258,韵达快递,浙江省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,浙江省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
135,435170058802565,韵达快递,湖北省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
136,435170067293892,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
137,435169681404726,韵达快递,湖北省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,湖北省,1,1,2.8,3.7,0,一致,金额一致
138,321127551711103,韵达快递,广东省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,广东省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
139,435171678372049,韵达快递,山东省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
